  4.381305 seconds (35 allocations: 1.865 GiB, 3.05% gc time)
  4.257847 seconds (35 allocations: 1.865 GiB, 0.04% gc time)
  3.260245 seconds (35 allocations: 1.865 GiB, 15.41% gc time)
  2.898353 seconds (35 allocations: 1.865 GiB, 0.05% gc time)
  3.014573 seconds (35 allocations: 1.865 GiB, 2.33% gc time)
  3.176960 seconds (35 allocations: 1.865 GiB, 0.04% gc time)
  3.331540 seconds (35 allocations: 1.865 GiB, 16.80% gc time)
  3.178045 seconds (35 allocations: 1.865 GiB, 0.04% gc time)
  3.322558 seconds (35 allocations: 1.865 GiB, 3.94% gc time)
  3.165601 seconds (35 allocations: 1.865 GiB, 0.05% gc time)
  3.452727 seconds (35 allocations: 1.865 GiB, 19.28% gc time)
  2.932682 seconds (35 allocations: 1.865 GiB, 0.05% gc time)
  2.970439 seconds (35 allocations: 1.865 GiB, 2.35% gc time)
  3.185647 seconds (35 allocations: 1.865 GiB, 0.05% gc time)
  3.312571 seconds (35 allocations: 1.865 GiB, 16.78% gc time)
  3.283450 seconds (35 allocations: 1.865 GiB, 11.64% gc time)
  2.611323 seconds (35 allocations: 1.865 GiB, 2.73% gc time)
  2.943064 seconds (35 allocations: 1.865 GiB, 0.06% gc time)
  2.999303 seconds (35 allocations: 1.865 GiB, 2.33% gc time)
  3.155578 seconds (35 allocations: 1.865 GiB, 0.04% gc time)
  3.431481 seconds (35 allocations: 1.865 GiB, 20.12% gc time)
  2.889156 seconds (35 allocations: 1.865 GiB, 0.05% gc time)
  2.997818 seconds (35 allocations: 1.865 GiB, 2.56% gc time)
  3.173125 seconds (35 allocations: 1.865 GiB, 0.05% gc time)
  3.360174 seconds (35 allocations: 1.865 GiB, 17.46% gc time)
  2.868553 seconds (35 allocations: 1.865 GiB, 0.05% gc time)
  3.084680 seconds (35 allocations: 1.865 GiB, 2.18% gc time)
  3.165766 seconds (35 allocations: 1.865 GiB, 0.05% gc time)
  3.632815 seconds (35 allocations: 1.865 GiB, 13.68% gc time)
  2.906454 seconds (35 allocations: 1.865 GiB, 0.05% gc time)
  3.050597 seconds (35 allocations: 1.865 GiB, 2.67% gc time)
  3.177823 seconds (35 allocations: 1.865 GiB, 0.05% gc time)
  3.259654 seconds (35 allocations: 1.865 GiB, 15.42% gc time)
  2.887825 seconds (35 allocations: 1.865 GiB, 0.05% gc time)
  3.023791 seconds (35 allocations: 1.865 GiB, 2.44% gc time)
  3.185170 seconds (35 allocations: 1.865 GiB, 0.04% gc time)
  3.295199 seconds (35 allocations: 1.865 GiB, 15.76% gc time)
  2.921222 seconds (35 allocations: 1.865 GiB, 0.09% gc time)
  3.050686 seconds (35 allocations: 1.865 GiB, 2.62% gc time)
  3.169795 seconds (35 allocations: 1.865 GiB, 0.05% gc time)
  3.432081 seconds (35 allocations: 1.865 GiB, 19.04% gc time)
  2.881554 seconds (35 allocations: 1.865 GiB, 0.05% gc time)
  3.008606 seconds (35 allocations: 1.865 GiB, 2.38% gc time)
  3.164304 seconds (35 allocations: 1.865 GiB, 0.05% gc time)
  3.243902 seconds (35 allocations: 1.865 GiB, 14.85% gc time)
  2.967612 seconds (35 allocations: 1.865 GiB, 0.06% gc time)
  3.118607 seconds (35 allocations: 1.865 GiB, 2.56% gc time)
  3.167973 seconds (35 allocations: 1.865 GiB, 0.05% gc time)
  3.383458 seconds (35 allocations: 1.865 GiB, 14.87% gc time)
  2.828292 seconds (35 allocations: 1.865 GiB, 0.04% gc time)
  2.999051 seconds (35 allocations: 1.865 GiB, 2.41% gc time)
  3.143509 seconds (35 allocations: 1.865 GiB, 0.05% gc time)
  3.292905 seconds (35 allocations: 1.865 GiB, 15.66% gc time)
  2.951525 seconds (35 allocations: 1.865 GiB, 0.05% gc time)
  3.040836 seconds (35 allocations: 1.865 GiB, 2.78% gc time)
  3.248989 seconds (35 allocations: 1.865 GiB, 0.05% gc time)
  3.411452 seconds (35 allocations: 1.865 GiB, 19.06% gc time)
  2.887217 seconds (35 allocations: 1.865 GiB, 0.05% gc time)
  3.009469 seconds (35 allocations: 1.865 GiB, 2.39% gc time)
  3.171555 seconds (35 allocations: 1.865 GiB, 0.04% gc time)
  3.270641 seconds (35 allocations: 1.865 GiB, 15.63% gc time)
  2.975115 seconds (35 allocations: 1.865 GiB, 0.06% gc time)
  3.140151 seconds (35 allocations: 1.865 GiB, 2.58% gc time)
  3.174733 seconds (35 allocations: 1.865 GiB, 0.05% gc time)
  3.444010 seconds (35 allocations: 1.865 GiB, 14.56% gc time)
  2.879851 seconds (35 allocations: 1.865 GiB, 0.05% gc time)
  3.001066 seconds (35 allocations: 1.865 GiB, 2.41% gc time)
  3.153461 seconds (35 allocations: 1.865 GiB, 0.04% gc time)
  3.273633 seconds (35 allocations: 1.865 GiB, 15.59% gc time)
  2.929210 seconds (35 allocations: 1.865 GiB, 0.05% gc time)
  3.059438 seconds (35 allocations: 1.865 GiB, 2.67% gc time)
  3.233068 seconds (35 allocations: 1.865 GiB, 0.04% gc time)
  3.426470 seconds (35 allocations: 1.865 GiB, 19.36% gc time)
  2.825852 seconds (35 allocations: 1.865 GiB, 0.05% gc time)
  3.006076 seconds (35 allocations: 1.865 GiB, 2.42% gc time)
  3.163491 seconds (35 allocations: 1.865 GiB, 0.04% gc time)
  3.277245 seconds (35 allocations: 1.865 GiB, 15.85% gc time)
  2.976554 seconds (35 allocations: 1.865 GiB, 0.05% gc time)
  3.099140 seconds (35 allocations: 1.865 GiB, 2.64% gc time)
  3.181575 seconds (35 allocations: 1.865 GiB, 0.06% gc time)
  3.499040 seconds (35 allocations: 1.865 GiB, 14.33% gc time)
  2.933310 seconds (35 allocations: 1.865 GiB, 0.05% gc time)
  2.999822 seconds (35 allocations: 1.865 GiB, 2.42% gc time)
  3.149701 seconds (35 allocations: 1.865 GiB, 0.04% gc time)
  3.292108 seconds (35 allocations: 1.865 GiB, 16.10% gc time)
  2.923844 seconds (35 allocations: 1.865 GiB, 0.05% gc time)
  3.010371 seconds (35 allocations: 1.865 GiB, 2.78% gc time)
  3.172619 seconds (35 allocations: 1.865 GiB, 0.05% gc time)
  3.473845 seconds (35 allocations: 1.865 GiB, 18.37% gc time)
  2.754600 seconds (35 allocations: 1.865 GiB, 0.04% gc time)
  2.972732 seconds (35 allocations: 1.865 GiB, 2.53% gc time)
  3.194467 seconds (35 allocations: 1.865 GiB, 0.05% gc time)
  3.267091 seconds (35 allocations: 1.865 GiB, 15.56% gc time)
  2.898330 seconds (35 allocations: 1.865 GiB, 0.05% gc time)
  3.105584 seconds (35 allocations: 1.865 GiB, 2.67% gc time)
  3.180026 seconds (35 allocations: 1.865 GiB, 0.05% gc time)
  3.514790 seconds (35 allocations: 1.865 GiB, 14.52% gc time)
  3.320533 seconds (35 allocations: 1.865 GiB, 14.08% gc time)
  2.907195 seconds (35 allocations: 1.865 GiB, 2.35% gc time)
